id,friendly_url,name,alternate_name,post,latitude,longitude,bounds_northeast_latitude,bounds_northeast_longitude,bounds_southwest_latitude,bounds_southwest_longitude,viewport_northeast_latitude,viewport_northeast_longitude,viewport_southwest_latitude,viewport_southwest_longitude,type,parent_id,place_id,formatted_address,old_id
37487,cleve,Cleve,Cleve,5640,-33.701476,136.493124,-33.615165,136.670897,-33.801941,136.361373,-33.615165,136.670897,-33.801941,136.361373,suburb,106,ChIJR0uGvCRer2oRYNeOYlQ2AwQ,"Cleve SA 5640, Australia",13813
37488,jamieson,Jamieson,Jamieson,5640,-33.433295,136.415515,-33.367843,136.497516,-33.470838,136.324664,-33.367843,136.497516,-33.470838,136.324664,suburb,106,ChIJzf-McK_upWoRwBmPYlQ2AwQ,"Jamieson SA 5640, Australia",13814
37489,waddikee,Waddikee,Waddikee,5640,-33.317099,136.254935,-33.273693,136.49796,-33.42391,136.115444,-33.273693,136.49796,-33.42391,136.115444,suburb,106,ChIJV2rm6rTnpWoRAPKOYlQ2AwQ,"Waddikee SA 5640, Australia",13815
37490,barna,Barna,Barna,5641,-33.164947,136.647025,-33.021859,136.811151,-33.225921,136.597756,-33.021859,136.811151,-33.225921,136.597756,suburb,106,ChIJY2jjM2lYpGoRABiPYlQ2AwQ,"Barna SA 5641, Australia",13816
37491,buckleboo,Buckleboo,Buckleboo,5641,-32.917593,136.208044,-32.765108,136.253557,-32.950216,135.933228,-32.765108,136.253557,-32.950216,135.933228,suburb,106,ChIJB6B-PKWapmoR8O6OYlQ2AwQ,"Buckleboo SA 5641, Australia",13817
37492,caralue,Caralue,Caralue,5641,-33.292575,136.054576,-33.223888,136.25317,-33.330898,136.001197,-33.223888,136.25317,-33.330898,136.001197,suburb,106,ChIJa3YGm7EOpmoRUBiPYlQ2AwQ,"Caralue SA 5641, Australia",13818
37493,cortlinye,Cortlinye,Cortlinye,5641,-33.027703,136.297185,-32.949807,136.426732,-33.124795,136.253056,-32.949807,136.426732,-33.124795,136.253056,suburb,106,ChIJ0-1Lx88zpGoRABmPYlQ2AwQ,"Cortlinye SA 5641, Australia",13819
37494,cunyarie,Cunyarie,Cunyarie,5641,-32.875322,136.308564,-32.765865,136.426592,-32.952612,136.253209,-32.765865,136.426592,-32.952612,136.253209,suburb,106,ChIJ01E4TFo9pGoRIBmPYlQ2AwQ,"Cunyarie SA 5641, Australia",13820
37495,kelly,Kelly,Kelly,5641,-33.226037,136.513683,-33.124288,136.604377,-33.329144,136.426321,-33.124288,136.604377,-33.329144,136.426321,suburb,106,ChIJWa2N3Zm3pWoR8PyOYlQ2AwU,"Kelly SA 5641, Australia",13821
37496,kimba,Kimba,Kimba,5641,-33.138335,136.420655,-33.113083,136.444309,-33.152337,136.378307,-33.113083,136.444309,-33.152337,136.378307,suburb,106,ChIJ098M5O3OpWoR4PyOYlQ2AwU,"Kimba SA 5641, Australia",13822
